Research Activity,"Project Title 
(and link to additional information, if available)",Topic,Agency and Office Name,Country(ies) in which research is/will be conducted,Status,Upcoming Milestones,Anticipated Completion,Brief Description
Diagnostic Development,Monkeypox Virus Diagnostic on Next Generation Diagnostic System,Diagnostic,DOD/JPEO,Domestic,Planning phases,Oct 2022: Initiate award to performer,2023 Q1: Anticipated Emergency Use Authorization,"DOD/JPEO-CBRND will develop a Monkeypox Emergency Use Authorization (EUA) diagnostic test for use on the BioFire FilmArray 2.0 instrument that is currently fielded to Role 2/3 Combat Care Providers (Army, Navy, Air Force). This effort will result in an FDA-reviewed medical diagnostic for use during the declared public emergency for monkeypox, provide data supporting future clearance of a monkeypox or non-variola diagnostics, and could advance product development for rapid fielding of improved diagnostics of high-threat agent exposure."
Monoclonal Antibody (mAb) Development Efforts,Generative Unconstrained Intelligent Drug Engineering (GUIDE)/Accelerated Antibodies pan-orthopox prophylaxis,Therapeutic,DOD/JPEO,Domestic,Planning phases,"2022 Q4: GUIDE optimization.

2023 Q1:  mAb development.","2023 Q1: GUIDE completion 

2025 Q1: mAb Phase 1 start","Through the DOD/CBDP/JPEO-CBRND Accelerated Antibodies program, will leverage DARPA Pandemic Prevention Platform (P3) antibody discovery efforts and GUIDE computational optimization of antibodies to further develop and manufacture a prophylactic pan-orthopox cocktail of antibodies. This effort will result in completion of phase 1 clinical trial and generation of cGMP material available to support phase 2 clinical trial and/or emergency use (minimum 5-10K doses)."
Therapeutic Development,Novel Compound Screening,Therapeutic,"NIH/NIAID

USAMRIID",Domestic,Ongoing,Screen Novel Compounds for activity against multiple pox viruses,2023-09-30T00:00:00.000,"USAMRIID and NIAID are collaborating to screen novel compounds for activity against smallpox, monkeypox, etc. The objective is to identify antiviral candidates with different mechanisms of action than tecovirimat which could then be used as a combined therapy, or in lieu of it."
Education and Training,Sample Collection Training and Capacity Building,Education,DTRA/WRAIR,International: West Africa,Ongoing,"2022 Q1: Initial training iteration completed.

2022 Q4: 2nd iteration planned in Guinea-Conakry for 45 HCWs.",2023-09-30T00:00:00.000,"WRAIR, through the Joint West African Research Group, facilitated training for personnel to identify potential infected patients and collect monkeypox samples for diagnostic testing. This builds capacity for early identification of monkeypox in areas with endemic disease and/or reservoirs, where spillover to humans is most likely to occur."
Laboratory Safety,Inactivation validation for Biological Select Agents and Toxins (BSAT) viral agents (to include poxviridae),Lab Safety,USAMRIID,Domestic,Ongoing,Validation of relevant clinical matrices to include poxviridae,2022 Q4,"USAMRIID is validating Trizol for multiple Biological Select Agents and Toxins (BSAT) agents to include members of the poxviridae family, including Monkeypox. Validations are focused on Trizol LS to enable polymerase chain reaction (PCR) and next generation sequencing (NGS) assays outside of containment on inactivated samples. Validation inactivation protocols will ensure BSAT and non-BSAT inactivated poxviridae samples can be safely moved out of containment for further studies."
Diagnostic Assay Development,Diagnostic Assay Development,Diagnostic,DTRA JSTO/ USAMRIID,Domestic,Ongoing,"2022 Q3: Evaluate recombinant proteins/peptides. 

2022 Q4: Evaluate commercial constructs.",2023-09-30T00:00:00.000,Current project with USAMRIID is to develop recombinant proteins and peptides in support of development of a monkeypox immunoassay on the Magpix instrument. The goal of this project is to identify optimal protein targets for a monkeypox-specific immunological assay.
Diagnostic Assay Development,Diagnostic Assay Development,Diagnostic,DTRA/JSTO/ USAMRIID,Domestic,Completed,"MPXV-specific, real-time PCR assay",N/A,"USAMRIID developed a monkeypox virus-specific, real-time PCR assay validated to meet accreditation and regulatory compliance for a laboratory-developed test (LDT) available to DOD sites. The Defense Health Agency (DHA) announced the availability of this assay for clinical use effective June 27, 2022. USAMRIID is pursuing Emergency Use Authorization (EUA) for the assay. This assay provides an expedited, monkeypox-virus specific diagnostic result to Department of Defense laboratories and helps address patient concerns over lack of a definitive diagnosis when using the non-variola pan-orthopox assay."
Enhanced Diagnostics/Detection,Development of an expeditionary sequencing and PCR assay development pipeline,Diagnostic,"NMRC, NRL, DARPA,",Domestic,Ongoing,"Oct 2022:  Software component - Obtain additional funding to move past successfully completed beta version;

Oct/Nov 2022: Follow-on successful proof on concept experiments with testing of viral, bacterial, and fungal pathogens and mixed sample types.",Software Development Completion:  May 2023; Estimated Project completion:  Late 2023,"Project focused on developing an expeditionary on-demand PCR assay development pipeline and field sequencing for a variety of viral, bacterial, and fungal pathogens.  The goal is to establish a pipeline for use with any pathogen, which would have direct relevance to the rapid, on-demand development of monkeypox PCR assays and sequencing capabilities in field environments."
Real World Vaccine Efficacy Study Using VA Data,"Effectiveness of Dryvaxx®, ACAM2000 and JYNNEOS for Preventing Monkeypox among the VA Population",Vaccine,"VA/VHA, AFHSD/ DHA",Domestic,Initiated,"Cleaning data; Defining cases; Defining outcomes; Preparing statistical analysis plans – October 31, 2022",2023-01-31T00:00:00.000,"This is an analysis of VA and DoD data to explore the effectiveness of smallpox vaccination for monkeypox illness prevention on Veterans in VA healthcare. Major experimental aims are toto identify how much immunity wanes: 1) with time since vaccination, and 2) with age, using a test negative case control design. This study will provide a large real-world evaluation and evidence that will define the use of these vaccines in the broader public health strategy for containing the global monkeypox outbreak."
Analysis of the VA Patient Population Affected by Monkeypox,Monkeypox in Veterans Affairs Healthcare System,Epidemiology,VA,Domestic,Planning,"1) Creating research team  

2) Designing study – December 31, 2022",2023-03-31T00:00:00.000,"Description and comparison of unique populations affected by monkeypox:  1) test positive and treated 2) test positive and untreated 3) test negatives 4) test negatives and re-tested positively 3) indeterminant tests 4) inconclusive tests 5) presented for symptoms but untested. Outcomes include laboratory markers, genome wide sequencing, viral lineage/drug resistance/phylogenetics risk characteristics, clinical course, sequelae of illness. This study will provide information about test performance and illness course, but also help us understand characteristics of individuals presenting for testing to inform testing strategies, including timing for retesting and the value of testing with exposure but without symptoms."
Biorepository System,Veterans Affairs Science and Health Initiative to Combat Infectious and Emerging Life-Threatening Diseases (VA SHIELD),Epidemiology,VA/VHA,Domestic,Initiated,"Specimens collected; Specimens used for research – December 31, 2022",Ongoing part of VA’s research pandemic preparedness actions,"VA SHIELD collects de-identified biological samples from U.S. Veterans affected by emerging life-threatening health conditions. Associated clinical and demographic information is maintained in a data repository, to help correlate samples and experimental findings with patient demographics, clinical experience and management, vaccinations, and comorbidities. Specimens are available to investigators within and outside VA via an efficient, secure, vetted distribution system."
Monitoring International Monkeypox Infections,No formal research protocol – monitoring the epidemic among people living with HIV/AIDS to determine whether additional support is needed,Epidemiology,DOS/S/GAC,"International: Countries with PEPFAR programs (Angola, Benin, Botswana, Brazil, Burkina Faso, Burma, Burundi, Cambodia, Cameroon, Cote d’Ivoire, Dominican Republic, DRC, El Salvador, Eswatini, Ethiopia, Ghana, Guatemala, Guyana, Haiti, Honduras, India, Indonesia, Jamaica, Kenya, Kyrgyz Republic, Kazakhstan, Laos, Lesotho, Liberia, Malawi, Mali, Mozambique, Namibia, Nepal, Nicaragua, Nigeria, Panama, Papua New Guinea, Philippines, Rwanda, Senegal, Sierra Leone, South Africa, South Sudan, Tajikistan, Tanzania, Thailand, Togo, Trinidad and Tobago, Uganda, Ukraine, Vietnam, Zambia, Zimbabwe)",Ongoing,None,TBD,"Through communication with U.S. Government in-country staff, the office of the Global AIDS Coordinator is monitoring the impact of the monkeypox virus outbreak in endemic and non-endemic countries on President’s Emergency Plan for AIDS Relief (PEPFAR) beneficiaries and programs."
International Training and equipment upgrades/maintenance,Enhancing Biosafety and Biosecurity of High Containment Facilities at the Institut National de Recherche Biomédicale (INRB),Education,DOS/ISN,International: DRC,Ongoing,In-person workshop in October 2022,End of December 2022,"Through a series of virtual biosafety and biosecurity trainings participants will be trained on biorisk management and will develop an institutional biosafety and biosecurity program plan. This effort will build institutionalized capacity at the INRB to ensure that equipment in laboratories working with and storing high-consequence pathogens, such as monkeypox virus, is operating optimally and with all necessary biosafety and biosecurity considerations."
"Structural biology studies in support of vaccine and molecular therapeutics development [Vaccine, Therapeutic]",X-ray crystallography studies at the Advanced Photon Source,"Vaccine, Therapeutic",DOE,Domestic,Ongoing,,,"Most protein structures deposited in the Protein Data Base (PDB) for monkey pox have come from Department of Energy light sources, including the Advanced Photon Source (Argonne), the Advanced Light Source (Lawrence Berkeley) and Stanford Synchrotron Radiation Light Source (SLAC).  In addition, the Advanced Photon Source (ANL) has three on-going studies with users: 1) Harvard Medical School, Dana-Farber Cancer Institute is conducting structural biology research related to how poxviruses evade the host anti-viral immune response and on an unpublished poxvirus protein structure; 2) Scripps Research Institute is working on monkeypox antigenic proteins; 3) Versiti Blood Research Institute, Medical College of Wisconsin is working monkeypox virus protein structures. This work will lead to the development of new vaccines and anti-viral drugs."
"Structural biology studies in support of vaccine and molecular therapeutics development [Vaccine, Therapeutic]",X-ray crystallography studies at the Stanford Synchrotron Radiation Lightsource (SSRL),"Vaccine, Therapeutic",DOE,Domestic,Ongoing,,,"Stanford Synchrotron Radiation Light Source at SLAC has a several on-going studies of Poxviridae.  The Division of Cell Biology, La Jolla Institute for Allergy and Immunology have studied the structural aspects of the vaccinia virus and its interaction with various antibodies. Live Vaccinia virus elicits antibodies to smallpox and monkeypox but does not replicate efficiently in humans. The virus is used to produce the two vaccines currently approved by the CDC for the prevention of monkeypox.  Crystals of proteins related to monkeypox virus are being prepared for structural studies to assess this issue.   Other SSRL users are beginning research programs with the goal of therapeutics developments to combat monkeypox and related poxviridae.  This work will lead to the development of new monkeypox vaccines and antiviral drugs."
Computational studies of phylogeny and predicting structures of all the monkey pox proteins,Computational studies of monkey pox protein and emerging variants,Epidemiology,DOE,Domestic,Ongoing,,,"Argonne (in a collaboration with University of Chicago, University of Virginia and J. Craig Venter Institute) is conducting monkeypox studies for an NIAID-supported center Bioinformatics Resource Center [BV-BRC https://www.bv-brc.org] that includes studies of phylogeny, predicting structures of all the monkeypox proteins (~180) and assessing the proteins on a therapeutics pipeline.  They are also tracking all the new variants and providing summary reports to NIAID leadership."
Monkeypox Virus detection,Sequencing monkey pox virus from Chicago area wastewater,Epidemiology,DOE,Domestic,Ongoing,,,Scientists at Argonne are sequencing monkeypox from wastewater samples collected in the Chicago area to assess whether sequencing will be more consistent and more sensitive than some of the current qPCR/dPCR methods that have produced mixed results.
Evolution of monkeypox,Assessment of human enzyme cAPOBEC3 impacts on driving monkeypox evolution,Epidemiology,DOE,Domestic,Ongoing,,,"Scientists at Los Alamos recognized a very unusual pattern of mutation that is operative in HIV-1 evolution that is driving monkeypox evolution in the outbreak (and during its initial spread in 2017). The mutations in the outbreak viruses are driven by human enzyme cAPOBEC3, which is part of the innate immune system.  Other unusual mutation patterns are being defined, along with strategies for dealing with these issues for multiple alignments and studying monkeypox’s emergence in Nigeria. Computational modeling is being used to study the dynamics of distinctive variants to track evidence for evolutionary selection and to understand if the variants have implications for epidemic forecasting.  This work will enable a better understanding of monkeypox virus evolution."
Virus genome sequencing,Challenges in sequencing and assembling monkeypox viral genome,Epidemiology,DOE,Domestic,Ongoing,,,Scientists at Los Alamos are advising the CDC genomics group on how to best overcome some of the sequencing and assembly challenges that this large viral genome has compared with SARS-CoV-2
Molecular Therapeutics,Computational design of potential pan-orthopox anti-viral,Therapeutic,DOE,Domestic,Planned,,,Lawrence Livermore is conducting studies as part of the DoD/JPEO Generative Unconstrained Intelligent Drug Engineering (GUIDE) program to establish the feasibility of undertaking a computational design campaign to develop a pan-orthopoxvirus therapeutic/prophylactic antibody.
